"DCF_Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Other","SFY 2013-2014","Other","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Other","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Other","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Other","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Other","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Other","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","Total","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2013-2014","White","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Black","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Hispanic","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Other","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","Total","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2014-2015","White","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Black","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Hispanic","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Other","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","In State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2015-2016","Total","Out of State","Independent Living",-6666,"Number","Children in Placement"
